"gene","marv.count","marv.lof.count","marv.ms.count","MSZ","pLI","pRec","pNull","scale.msz","lof.ms.aggregate","brain.expressed"
"EDIL3",1,0,1,0.584932886247662,4.08771487713601e-05,0.990205566896933,0.00975355595429531,0.0421556296132875,0.136004056944346,TRUE
"LYSMD1",1,0,1,0.58395229675699,0.181950236021973,0.765197437307468,0.0528523266705592,0.0420849593392384,0.135776057883148,TRUE
"ABCA12",2,0,2,0.291714136374392,2.02270864482359e-07,0.999999797728865,2.70254312270528e-13,0.0210235966810595,0.13565421588601,FALSE
"SEMA4B",1,0,1,0.578805208277251,0.00160800069630225,0.997148904463158,0.0012430948405394,0.0417140129270259,0.13457929679969,TRUE
"TBC1D1",1,0,1,0.577670736334539,3.93946057987096e-08,0.999878400445414,0.000121560159980531,0.0416322524718557,0.134315518184526,TRUE
"KLHL17",1,0,1,0.575586310599741,2.51676266070248e-07,0.722913600252338,0.277086148071396,0.0414820296321104,0.133830863683134,FALSE
"DEPDC7",2,0,2,0.28731895021035,1.25056837709977e-05,0.951509448221312,0.0484780460949167,0.0207068392472257,0.133610346705837,FALSE
"SMARCAL1",2,0,1,0.568682400692009,0.000314358585842015,0.999152780814,0.000532860600158166,0.0409844705517501,0.132225620110229,TRUE
"RP2",1,0,1,0.567730211034381,0.851505576518184,0.146004500504604,0.00248992297721158,0.0409158470301935,0.132004224357892,FALSE
"NFATC2IP",1,0,1,0.565654409609196,0.00232734526476926,0.924316270562338,0.073356384172893,0.0407662457373133,0.131521575114066,TRUE
"MTHFS",1,1,0,0.320775641197017,0.0406510504988124,0.842923193228791,0.116425756272396,0.0231180353117311,0.131149927959926,FALSE
"CCNJL",1,0,1,0.561025178043552,1.94749657136305e-05,0.463291682837118,0.536688842197169,0.0404326208448452,0.130445222102867,FALSE
"PDCD11",1,0,1,0.55609979387321,0.468448697895289,0.531551302099376,5.33489187132011e-12,0.0400776524789527,0.129300009985502,TRUE
"DARS2",1,0,1,0.555769509857398,4.40767877928912e-09,0.940603688994882,0.0593963065974396,0.040053849182942,0.129223214908408,FALSE
"PLEKHA4",1,0,1,0.555351155311192,4.7425343910477e-09,0.997474285477484,0.00252570977998181,0.0400236987166038,0.129125942354816,FALSE
"MIOS",1,0,1,0.554657581702045,0.00143566907100511,0.998504239526214,6.00914027812632e-05,0.0399737134398923,0.128964677999791,TRUE
"ZZEF1",1,0,1,0.554270545172614,0.999923090647574,7.69093524260776e-05,6.60767607056806e-24,0.039945820037136,0.128874687268502,TRUE
"IKZF2",1,0,1,0.552503659203683,0.922956763628976,0.0770241115518539,1.91248191695813e-05,0.0398184820258422,0.128463864650075,FALSE
"TAF9",1,0,1,0.551545660420347,5.73990719710396e-05,0.268000030187452,0.731942570740577,0.0397494398453976,0.128241118204893,TRUE
"KIAA2022",1,0,1,0.54614731705863,0.950542378844954,0.0494513915277112,6.22962733429486e-06,0.0393603857015252,0.126985937285451,TRUE
"NPBWR2",1,0,1,0.542747987672284,0.0022243335643839,0.52212534191115,0.475650324524466,0.0391153988424965,0.126195551587702,FALSE
"NUP188",2,0,2,0.270972950538682,0.987079307345649,0.0129206926543463,5.22540424083661e-15,0.019528796562298,0.126009056635043,TRUE
"SFTPB",1,0,1,0.541070823711329,0.040741578571877,0.952853358735952,0.00640506269217135,0.0389945270221543,0.125805590434528,TRUE
"ZDHHC7",1,0,1,0.535950711729458,0.00507412524920815,0.968110722245421,0.0268151525053712,0.0386255247838447,0.124615101717077,TRUE
"ZNF404",1,0,1,0.535729483080689,1.48958552341176e-05,0.644024932994488,0.355960171150278,0.0386095810179929,0.124563663347903,FALSE
"ACTRT3",1,0,1,0.534139575462792,0.000670123620467876,0.504255395053519,0.495074481326014,0.0384949976901698,0.124193990362703,FALSE
"CAP2",1,0,1,0.533393754146765,0.410487087790501,0.58915700966929,0.000355902540209639,0.0384412469644108,0.1240205777762,TRUE
"LRCH4",1,0,1,0.529134616386022,0.00017644288346698,0.998604093597113,0.00121946351941958,0.0381342944265468,0.123030276105418,FALSE
"KDELR2",1,0,1,0.52610933287889,0.268728640616792,0.706420464781011,0.0248508946021967,0.0379162647448512,0.122326860653748,TRUE
"GRID2",1,0,1,0.522717684570778,0.999998446555818,1.55344418154788e-06,3.07957251237632e-16,0.0376718314547818,0.121538260900722,FALSE
"ARHGEF16",1,0,1,0.51948168234402,9.36505312388017e-08,0.510068048308037,0.489931858041432,0.0374386154491404,0.120785850767068,TRUE
"FBN3",1,0,1,0.519219571781105,1.35475416104555e-27,0.999811748657587,0.000188251342413204,0.0374197253575286,0.120724906852369,FALSE
"DUSP15",2,0,2,0.259579327370383,0.000219668008201055,0.503853760398491,0.495926571593308,0.0187076675583923,0.120710742894729,TRUE
"TUT1",1,0,1,0.518364835642614,9.985102139972e-06,0.999364715344987,0.000625299552873476,0.0373581252305423,0.12052617023628,TRUE
"MST1R",2,0,2,0.258682123991383,1.6934911102813e-20,0.0200568760985158,0.979943123901484,0.0186430068524855,0.120293521355926,FALSE
"LRP1B",1,0,1,0.515949806699374,0.999999190192507,8.09807493334833e-07,4.74251015707574e-37,0.0371840760908372,0.119964646441601,TRUE
"SLC24A1",1,0,1,0.515624195273227,0.000127201012282332,0.990422927532491,0.00944987145522726,0.0371606095445014,0.119888937798807,FALSE
"PPP1R3C",1,1,0,0,0.0368811778240755,0.92880522812113,0.0343135940547942,0,0.118987424810732,TRUE
"SLCO4A1",1,0,1,0.511150342642947,5.34100932440508e-07,0.857450695384008,0.14254877051506,0.0368381826834706,0.118848712292266,TRUE
"LDLR",1,0,1,0.509947230469854,2.59266073718312e-16,0.0585944567653505,0.941405543234649,0.036751475383634,0.118568973983228,TRUE
"RGS12",2,0,2,0.254291221129398,0.00056037428714452,0.999430106065725,9.51964713081501e-06,0.0183265581126904,0.118251644016085,TRUE
"GALNT14",1,0,1,0.507402333272326,3.03253774344532e-09,0.729560652226631,0.270439344740831,0.03656806674619,0.117977254229548,TRUE
"SCRN2",1,0,1,0.503422838745198,6.55878589036845e-07,0.452768958466524,0.547230385654887,0.0362812678650228,0.117051973034043,TRUE
"FAM76B",1,0,1,0.503064390887031,0.0224491994808166,0.962119358206831,0.0154314423123523,0.0362554348241735,0.116968629518813,TRUE
"CRYBA2",1,0,1,0.502012293388432,0.000626081708704005,0.728637364832545,0.270736553458751,0.0361796110271007,0.116724003970353,FALSE
"SYNRG",2,0,2,0.250386949653898,0.97274821167624,0.0272517859574317,2.36632837703069e-09,0.0180451804946756,0.116436062185881,TRUE
"UGGT1",3,0,3,0.166023460893338,0.00289726281334611,0.997102736883172,3.03482229922747e-10,0.0119651735935606,0.115807461472808,TRUE
"STRIP2",1,0,1,0.496000458532698,7.35176598741971e-10,0.966038865507226,0.0339611337575979,0.0357463430583593,0.115326178768039,FALSE
"EXT2",1,0,1,0.494546008469265,2.46055407087129e-07,0.975673722168668,0.0243260317759247,0.0356415220445189,0.114988001322556,TRUE
"INTS12",1,0,1,0.493464599347989,0.687399443679649,0.311721065511513,0.000879490808837345,0.0355635857830285,0.114736560462984,TRUE
